Кто был звездой фильма 1973 года «Занджир»?,Амитабх Баччан.
Кто был звездой фильма 1973 года «Занджир»?,Анил Капур.
Кто был звездой фильма 1973 года «Занджир»?,Шахрукх Кхан.
Кто был звездой фильма 1973 года «Занджир»?,Мадхур Миттал.
На национальной эмблеме Индии изображены три льва. А что написано под ними?,Только правда побеждает.
На национальной эмблеме Индии изображены три льва. А что написано под ними?,Только торжество лжи.
На национальной эмблеме Индии изображены три льва. А что написано под ними?,Только триумфы моды.
На национальной эмблеме Индии изображены три льва. А что написано под ними?,Только деньги торжествуют.
Что он традиционно держит в правой руке в изображениях бога Рамы?,Цветок.
Что он традиционно держит в правой руке в изображениях бога Рамы?,Меч.
Что он традиционно держит в правой руке в изображениях бога Рамы?,Ребенок.
Что он традиционно держит в правой руке в изображениях бога Рамы?,Лук и стрела.
Песня Даршан До Гханшьям - произведение великого индийского поэта; как зовут этого поэта?,Сурдас.
Песня Даршан До Гханшьям - произведение великого индийского поэта; как зовут этого поэта?,Тулсидас.
Песня Даршан До Гханшьям - произведение великого индийского поэта; как зовут этого поэта?,Мирабай.
Песня Даршан До Гханшьям - произведение великого индийского поэта; как зовут этого поэта?,Кабир.
На 100-долларовой купюре есть портрет известного американского государственного деятеля?,Джордж Вашингтон.
На 100-долларовой купюре есть портрет известного американского государственного деятеля?,Франклин Рузвельт.
На 100-долларовой купюре есть портрет известного американского государственного деятеля?,Бенджамин Франклин.
На 100-долларовой купюре есть портрет известного американского государственного деятеля?,Абрахам Линкольн.
Кто изобретатель револьвера?,Сэмюэл Кольт.
Кто изобретатель револьвера?,Брюс Браунинг.
Кто изобретатель револьвера?,Дэн Вессон.
Кто изобретатель револьвера?,Револьвер Джеймса.
В каком городе находится Кембриджский цирк?,Оксфорд.
В каком городе находится Кембриджский цирк?,Лидс.
В каком городе находится Кембриджский цирк?,Кембридж.
В каком городе находится Кембриджский цирк?,Лондон.
Какой игрок в крикет забил больше всего «сотен» в официальных матчах?,Сачин Тендулкар.
Какой игрок в крикет забил больше всего «сотен» в официальных матчах?,Рики Понтинг.
Какой игрок в крикет забил больше всего «сотен» в официальных матчах?,Майкл Слейтер.
Какой игрок в крикет забил больше всего «сотен» в официальных матчах?,Джек Хоббс.
В шедевре Александра Дюма «Три мушкетера» двух мушкетеров зовут Атос и Портос. Как зовут третьего мушкетера?,Арамис.
В шедевре Александра Дюма «Три мушкетера» двух мушкетеров зовут Атос и Портос. Как зовут третьего мушкетера?,Кардинал Ришелье.
В шедевре Александра Дюма «Три мушкетера» двух мушкетеров зовут Атос и Портос. Как зовут третьего мушкетера?,Д'Артаньян.
В шедевре Александра Дюма «Три мушкетера» двух мушкетеров зовут Атос и Портос. Как зовут третьего мушкетера?,Планше.
