question,answer,correct
"On an American $100 bill, there is portrait of American statesman?",Benjamin Franklin,true
"On an American $100 bill, there is portrait of American statesman?",Franklin Roosevelt,false
"On an American $100 bill, there is portrait of American statesman?",George Washington,false
"On an American $100 bill, there is portrait of American statesman?",Abraham Lincoln,false
Who invented the first commercially-successful revolver?,Thomas Edison,false
Who invented the first commercially-successful revolver?,Oliver Winchester,false
Who invented the first commercially-successful revolver?,Samuel Colt,true
Who invented the first commercially-successful revolver?,Daniel Wesson,false
Cambridge Circus is in which U.K. city?,Oxford,false
Cambridge Circus is in which U.K. city?,Leeds,false
Cambridge Circus is in which U.K. city?,Cambridge,false
Cambridge Circus is in which U.K. city?,London,true
"In depictions of God Rama, he is famously what in his right hand?",A flower,false
"In depictions of God Rama, he is famously what in his right hand?",A bow and arrow,true
"In depictions of God Rama, he is famously what in his right hand?",A sword,false
"In depictions of God Rama, he is famously what in his right hand?",A child,false
"In Alexander Dumas' book ""The Three Musketeers"", two of the musketeers are called Athos and Porthos. What is the name of the third Musketeers?",Planchet,false
"In Alexander Dumas' book ""The Three Musketeers"", two of the musketeers are called Athos and Porthos. What is the name of the third Musketeers?",Cardinal Richelieu,false
"In Alexander Dumas' book ""The Three Musketeers"", two of the musketeers are called Athos and Porthos. What is the name of the third Musketeers?",Aramis,true
"In Alexander Dumas' book ""The Three Musketeers"", two of the musketeers are called Athos and Porthos. What is the name of the third Musketeers?",D'Artagnan,false
